num_cars,frame,num_cars_time,colours,colours_time,car_type,car_type_time
0,0,1.801141,,0.000010,,3.699185
1,1,0.273539,black,0.002473,Hatchback,0.083525
1,2,0.280885,black,0.002513,Sedan,0.074267
1,3,0.289741,black,0.002342,Sedan,0.428636
0,4,0.260938,,0.000006,,0.159292
0,5,0.253718,,0.000005,,0.153373
0,6,0.372433,,0.000007,,0.418120
0,7,0.278221,,0.000005,,0.170153
0,8,0.239002,,0.000004,,0.164876
0,9,0.366900,,0.000007,,0.268856
0,10,0.282769,,0.000006,,0.312371
1,11,0.232759,black,0.002298,Sedan,0.136946
1,12,0.379745,black,0.002395,Sedan,0.292376
1,13,0.258711,black,0.002318,Hatchback,0.335101
1,14,0.240757,black,0.001489,Sedan,0.146861
1,15,0.356358,black,0.001577,Sedan,0.277616
1,16,0.256902,black,0.001504,Sedan,0.343564
1,17,0.246948,black,0.001483,Sedan,0.112435
1,18,0.366876,black,0.002395,Sedan,0.289641
1,19,0.267301,black,0.002323,Sedan,0.150628
1,20,0.243319,black,0.001545,Sedan,0.379762
1,21,0.363695,black,0.001535,Sedan,0.259414
1,22,0.276028,black,0.001576,Sedan,0.138716
1,23,0.228288,black,0.001465,Sedan,0.310746
1,24,0.366823,black,0.002364,Sedan,0.234431
1,25,0.261014,black,0.001495,Sedan,0.152446
1,26,0.238939,black,0.001512,Sedan,0.350781
1,27,0.354067,black,0.002346,Sedan,0.277624
1,28,0.398215,black,0.001955,Sedan,0.149131
1,29,0.379173,black,0.002490,Sedan,0.505325
1,30,0.376024,black,0.001544,Sedan,0.241154
1,31,0.227755,black,0.002293,Sedan,0.203189
1,32,0.325613,black,0.002370,Sedan,0.233495
1,33,0.315915,black,0.002277,Sedan,0.300965
1,34,0.218168,black,0.003456,Sedan,0.117707
1,35,0.405879,black,0.002462,Sedan,0.265925
1,36,0.380957,black,0.002477,Sedan,0.593224
1,37,0.406924,black,0.001572,Sedan,0.213123
0,38,0.267160,,0.000006,,0.160803
0,39,0.246843,,0.000004,,0.357717
0,40,0.413714,,0.000006,,0.282128
0,41,0.297533,,0.000006,,0.159098
0,42,0.240840,,0.000005,,0.360682
0,43,0.348194,,0.000005,,0.205594
0,44,0.264056,,0.000006,,0.186671
0,45,0.204639,,0.000004,,0.146947
0,46,0.378099,,0.000005,,0.413218
0,47,0.251189,,0.000007,,0.213352
0,48,0.260840,,0.000005,,0.188730
0,49,0.381125,,0.000007,,0.418165
0,50,0.305806,,0.000005,,0.106288
0,51,0.239853,,0.000005,,0.230370
0,52,0.373554,,0.000004,,0.388643
0,53,0.272756,,0.000005,,0.173812
0,54,0.223682,,0.000004,,0.130899
1,55,0.365633,black,0.001647,Sedan,0.400015
1,56,0.289382,black,0.002106,Sedan,0.109587
0,57,0.208049,,0.000005,,0.139669
0,58,0.362965,,0.000007,,0.263889
0,59,0.267923,,0.000005,,0.341743
1,60,0.237770,black,0.002339,Sedan,0.141765
1,61,0.353056,black,0.002330,Sedan,0.253464
1,62,0.280894,black,0.002464,Sedan,0.293579
1,63,0.224942,black,0.001529,Sedan,0.131947
1,64,0.366327,black,0.002821,Sedan,0.260308
1,65,0.271585,black,0.002384,Sedan,0.309839
1,66,0.231590,black,0.001504,Sedan,0.165143
1,67,0.352232,black,0.001663,Hatchback,0.255187
