num_cars,frame,num_cars_time,colours,colours_time,car_type,car_type_time
,59,,,,Hatchback,0.345226
,60,,,,Sedan,0.115891
,61,,,,Sedan,0.124102
,62,,,,Sedan,0.315117
,63,,,,Sedan,0.156058
,64,,,,Hatchback,0.188600
,65,,,,Sedan,0.298878
,66,,,,Sedan,0.148983
,67,,,,Sedan,0.125857
,68,,,,Sedan,0.350030
,69,,,,Sedan,0.140908
,70,,,,Sedan,0.126200
,71,,,,Sedan,0.135592
,72,,,,Sedan,0.387769
,73,,,,Sedan,0.196198
,74,,,,Sedan,0.172981
0,283,0.246783,,,,
1,284,0.208540,black,0.002466,,
1,285,0.263204,black,0.001939,,
1,286,0.268330,black,0.002596,,
0,287,0.238390,,,,
0,288,0.213652,,,,
0,289,0.214803,,,,
0,290,0.204962,,,,
0,291,0.205717,,,,
0,292,0.208703,,,,
0,293,0.215082,,,,
1,294,0.210396,silver,0.002896,,
1,295,0.263374,silver,0.002477,,
1,296,0.253732,silver,0.001954,,
1,297,0.250327,silver,0.002562,,
1,298,0.275806,silver,0.003187,,
1,299,0.248105,silver,0.002649,,
1,300,0.239414,silver,0.003017,,
1,301,0.280265,silver,0.002432,,
1,302,0.264725,silver,0.002568,,
1,303,0.243312,silver,0.001557,,
1,304,0.298262,black,0.002351,,
1,305,0.350343,silver,0.002943,,
1,306,0.295483,silver,0.001816,,
1,307,0.264513,black,0.001597,,
