num_cars,frame,num_cars_time,colours,colours_time,car_type,car_type_time,,,Sedan,Hatchback,black,silver,red,white,blue,black,silver,red,white,blue,Q1_Time,Q2_time,Q3_time,black,silver,red,white,blue
1,0,1.583152,black,0.001624,hatchback,3.250667,,,0,1,0,0,0,0,0,0,0,0,0,0,2.210879,6.500496,6.503561,1,0,0,0,0
1,1,0.248173,black,0.002741,hatchback,0.112404,,,0,1,0,1,0,0,0,0,0,0,0,0,0.309722,0.389861,0.393117,1,0,0,0,0
1,2,0.312146,black,0.002774,hatchback,0.116853,,,0,1,0,1,0,0,0,0,0,0,0,0,0.350762,0.425661,0.428701,1,0,0,0,0
1,3,0.237838,black,0.002448,hatchback,0.231863,,,0,1,0,1,0,0,0,0,0,0,0,0,0.310101,0.717456,0.7206,1,0,0,0,0
1,4,0.224526,black,0.001571,hatchback,0.078275,,,0,1,0,1,0,0,0,0,0,0,0,0,0.354944,0.58895,0.592482,1,0,0,0,0
1,5,0.216826,black,0.001663,hatchback,0.079658,,,0,1,0,1,0,0,0,0,0,0,0,0,0.35607,0.552214,0.555319,1,0,0,0,0
1,6,0.209864,black,0.002364,hatchback,0.212454,,,0,1,0,1,0,0,0,0,0,0,0,0,0.3013,0.731431,0.734825,1,0,0,0,0
1,7,0.209747,black,0.002406,hatchback,0.076819,,,0,1,0,1,0,0,0,0,0,0,0,0,0.315657,0.497371,0.500455,1,0,0,0,0
1,8,0.215802,black,0.00168,hatchback,0.078356,,,0,1,0,1,0,0,0,0,0,0,0,0,0.375623,0.55167,0.556023,1,0,0,0,0
1,9,0.207121,black,0.002451,hatchback,0.085533,,,0,1,0,1,0,0,0,0,0,0,0,0,0.296908,0.541706,0.543955,1,0,0,0,0
1,10,0.21281,black,0.001644,hatchback,0.205848,,,0,1,0,1,0,0,0,0,0,0,0,0,0.345804,0.708498,0.711751,1,0,0,0,0
1,11,0.213581,black,0.001608,hatchback,0.078685,,,0,1,0,1,0,0,0,0,0,0,0,0,0.344171,0.522353,0.524355,1,0,0,0,0
